drugA,drugB,meddra,type,dynamic,n_injected
21601003,21600448,36110597,negative,,0
21603718,21603929,35708093,negative,,0
21603164,21603173,42889636,negative,,0
21602737,40253398,37622455,negative,,0
21603312,21603392,37219907,negative,,0
21600664,21602737,35808914,negative,,0
21603929,21604571,36416595,negative,,0
21601129,21601423,37219907,negative,,0
21603312,21603448,36110597,negative,,0
21602734,21601435,42890355,negative,,0
21601423,21601428,35809310,negative,,0
21602096,21601390,35104199,negative,,0
21602338,21603925,35204948,negative,,0
21603748,21603749,36110597,negative,,0
21602735,21601435,36110227,negative,,0
21602730,21601394,36416595,negative,,0
21604543,21604544,36718301,negative,,0
21602085,21603082,36313550,negative,,0
21601390,21603732,35909511,negative,,0
21601423,21604348,36516959,negative,,0
21600575,21603312,37219905,negative,,0
21604529,21604543,36918912,negative,,0
21603967,21603448,36516848,negative,,0
21601435,21603929,35809243,negative,,0
21602737,21603800,35708038,negative,,0
21602338,21603896,36009898,negative,,0
21601423,21603917,36314856,negative,,0
21601428,21603800,35707991,negative,,0
21602732,21604393,35809054,negative,,0
21602737,21604344,36416600,negative,,0
21604431,21604714,35708208,negative,,0
21602737,21601394,35104877,negative,,0
21602732,21603980,35809243,negative,,0
21601161,21601534,36416600,negative,,0
21604422,21604529,36918858,negative,,0
21600098,21604156,35708208,negative,,0
21602732,21601423,36110234,negative,,0
21603392,21603497,42889536,negative,,0
21602735,21603732,36110649,negative,,0
21600083,21600816,37522181,negative,,0
21600493,21603080,35809076,negative,,0
21603732,21603800,37522220,negative,,0
21603896,21603925,37019308,negative,,0
21600234,21601518,36918858,negative,,0
21601518,21602653,35708093,negative,,0
21604544,21604714,36818730,negative,,0
21602338,21601399,35809207,negative,,0
21601423,21603929,35104341,negative,,0
21604544,21604711,36918858,negative,,0
21603911,21603929,35809329,negative,,0
21601423,21603929,36315380,negative,,0
21601435,21603732,36110649,negative,,0
21603080,21604434,37622449,negative,,0
21602256,21603448,35809005,negative,,0
21604344,21604348,36718422,negative,,0
21602732,21603896,35104877,negative,,0
21604344,21603448,36313176,negative,,0
21602338,21603924,37522220,negative,,0
21601392,21601431,36110881,negative,,0
21603164,21603165,35809330,negative,,0
21601423,21603908,36211385,negative,,0
21601392,21603795,35606938,negative,,0
21604122,21604436,36311918,negative,,0
21602256,21603911,35708089,negative,,0
21601518,21602732,35809327,negative,,0
21604393,21604399,35809054,negative,,0
21602732,21605129,35809054,negative,,0
21603925,21605270,35104883,negative,,0
21602256,21603497,35708093,negative,,0
21603135,21603925,35809054,negative,,0
21604562,21604655,35809310,negative,,0
21602485,21602735,35909445,negative,,0
21603967,21604566,37622529,negative,,0
21600096,21604571,35809054,negative,,0
21604556,21604562,36718347,negative,,0
21602737,21603800,35104868,negative,,0
21602102,21604348,35809054,negative,,0
21600718,21601789,36818646,negative,,0
21603909,21603929,35708044,negative,,0
21603967,21604348,35205025,negative,,0
21604571,21604745,788653,negative,,0
21602732,21603924,35104877,negative,,0
21600303,21603448,36110697,negative,,0
21602338,21603925,36313585,negative,,0
21603157,21603160,36314766,negative,,0
21602338,21601431,35104113,negative,,0
21604418,21604431,35708208,negative,,0
21603009,21603607,37219850,negative,,0
21602734,21603924,37019321,negative,,0
21602085,21603131,36009754,negative,,0
21601684,21601787,35205038,negative,,0
21603312,21603448,36009700,negative,,0
21604434,21603448,36718379,negative,,0
21600658,21603925,36110201,negative,,0
21603921,21604889,35708164,negative,,0
21602256,21603905,35809104,negative,,0
21603131,21603448,36313524,negative,,0
21603164,21603173,36313524,negative,,0
21602735,21601435,42890355,negative,,0
21602737,21603929,35809139,negative,,0
21600965,21601003,36314117,negative,,0
21601390,21603929,36315380,negative,,0
21603921,21603968,42889847,negative,,0
21601423,21601435,35909508,negative,,0
21600497,21603080,35809054,negative,,0
21602338,21603285,36009895,negative,,0
21604571,21604643,36919098,negative,,0
21602732,21601423,35708208,negative,,0
21602485,21602806,35809243,negative,,0
21600663,21601423,35809243,negative,,0
21603908,21603911,788653,negative,,0
21602737,21603448,36416501,negative,,0
21603080,21603924,37622529,negative,,0
21602870,21603967,36211303,negative,,0
21601390,21603895,36110874,negative,,0
21603896,21603925,36110649,negative,,0
21600663,21603909,36315261,negative,,0
21603718,21603732,37219897,negative,,0
21600493,21602730,37622449,negative,,0
21601435,21603800,35707991,negative,,0
21604436,21604566,36416606,negative,,0
21600096,21603967,35909449,negative,,0
21604543,21604563,35809310,negative,,0
21604115,21604434,36776613,negative,,0
21602338,21603896,35708190,negative,,0
21601423,21603908,36211462,negative,,0
21600505,21601394,36718119,negative,,0
21604562,21604714,36919235,negative,,0
21600096,21602735,35809005,negative,,0
21601003,21602648,35204966,negative,,0
21601161,21605129,37622449,negative,,0
21601392,21603718,36315575,negative,,0
21603019,21601423,36416595,negative,,0
21602256,21602735,35809323,negative,,0
21602732,21602898,35909508,negative,,0
21603911,21603921,35708208,negative,,0
21603082,21603925,37019318,negative,,0
21601423,21601435,36314494,negative,,0
21600718,21600732,35205025,negative,,0
21603758,21603896,35809207,negative,,0
21602485,21603009,36919046,negative,,0
21602338,21603086,35809310,negative,,0
21600658,45893488,37522220,negative,,0
21604436,21604574,35809101,negative,,0
21601129,21603921,35708208,negative,,0
21602256,21602735,37219907,negative,,0
21603288,21603312,37522220,negative,,0
21604711,21604754,36718321,negative,,0
21601423,21603929,35707936,negative,,0
21603911,21603927,36516986,negative,,0
21602338,21603896,35809327,negative,,0
21603732,21603929,36110649,negative,,0
21602096,21602485,35909443,negative,,0
21603718,21603929,788256,negative,,0
21601390,21603732,42889636,negative,,0
21602102,21602732,36110915,negative,,0
21600663,21603968,36110649,negative,,0
21600718,21600732,36314159,negative,,0
21600493,21604131,36009871,negative,,0
21601423,21601428,35708093,negative,,0
21603009,21603607,35707866,negative,,0
21603732,21603929,42890163,negative,,0
21604415,21604422,35909625,negative,,0
21600493,21603448,35506628,negative,,0
21601423,21603895,35104877,negative,,0
21601450,21603732,37220014,negative,,0
21601439,21601450,35909682,negative,,0
21600083,21603925,35809310,negative,,0
21604543,21604559,35506601,negative,,0
21601423,21603908,35809013,negative,,0
21601518,21603131,36416595,negative,,0
21604260,21604344,36416595,negative,,0
21601467,21601518,36110597,negative,,0
21602485,21603514,37219871,negative,,0
21601428,21604260,35104877,negative,,0
21602898,21604643,43053854,negative,,0
21604431,21604436,42889647,negative,,0
21604131,21604571,36718132,negative,,0
21604272,21604643,36718321,negative,,0
21603080,21603732,37522220,negative,,0
21602102,21602730,35104883,negative,,0
21602737,21603448,35104883,negative,,0
21603900,21604431,35708642,negative,,0
21603905,21603908,35205025,negative,,0
21600303,21603448,37219907,negative,,0
21602735,21601423,35708038,negative,,0
21601423,21603749,35104877,negative,,0
21600816,21601161,35809054,negative,,0
21604422,21604431,35809327,negative,,0
21604422,21604559,36416514,negative,,0
21601428,21603732,37219905,negative,,0
21604415,21604431,35809327,negative,,0
21600604,21601911,35104125,negative,,0
21601423,21604438,36516812,negative,,0
21602734,21603080,42890355,negative,,0
21604422,21604431,35708171,negative,,0
21603967,21604348,35909452,negative,,0
21602732,21601435,36110642,negative,,0
21601435,21603718,35708067,negative,,0
21603911,21603927,35708044,negative,,0
21602924,21603087,36110888,negative,,0
21602737,21603732,35708208,negative,,0
21601423,21603929,35104199,negative,,0
21602256,21603911,36718321,negative,,0
21602737,21603748,35708208,negative,,0
21604418,21604436,36718132,negative,,0
21601423,21601433,36313176,negative,,0
21602485,21602735,37622465,negative,,0
21600096,21602732,35708208,negative,,0
21600747,21602485,35708208,negative,,0
43534769,21602653,36516765,negative,,0
21602256,21601423,35708154,negative,,0
21601423,21603929,36110715,negative,,0
21601161,21603607,42889536,negative,,0
21601390,21603448,35104691,negative,,0
21604711,21604713,36919059,negative,,0
21602924,21603929,36110888,negative,,0
21604090,21604422,36110597,negative,,0
21604115,21604434,35708208,negative,,0
21602737,21603800,35104691,negative,,0
21600096,21603929,35104074,negative,,0
21600448,21602648,37219868,negative,,0
21602096,21604857,36718315,negative,,0
21600100,21602485,35708093,negative,,0
21602256,21603864,36211462,negative,,0
21600816,21603356,35809079,negative,,0
21603312,21603497,36211462,negative,,0
21603175,21603896,36416638,negative,,0
21602295,21603497,37320154,negative,,0
21603082,21601423,36718132,negative,,0
21604393,21604571,36918937,negative,,0
21604344,21603448,36211496,negative,,0
21604415,21604745,36919230,negative,,0
21603448,21603497,35809059,negative,,0
21602338,21603925,36110369,negative,,0
21601390,21603804,36110642,negative,,0
21603800,21603929,35707991,negative,,0
21603980,21604566,36776613,negative,,0
21601390,21601431,36110320,negative,,0
21601390,21603730,35104351,negative,,0
21600604,21601911,36110229,negative,,0
21604571,21604590,36718132,negative,,0
21600083,21603925,36315575,negative,,0
21601431,21603924,37320212,negative,,0
21603929,21604422,37522220,negative,,0
21601423,21603929,36718199,negative,,0
21603905,21603929,35506459,negative,,0
21602735,21603925,36211179,negative,,0
21603909,21603929,36718132,negative,,0
21601390,21601394,35104883,negative,,0
21602737,21603925,35104877,negative,,0
21603082,21601390,36110642,negative,,0
21603967,21603980,35809092,negative,,0
21601390,21603756,37622465,negative,,0
21603080,21601423,36416595,negative,,0
21602734,21603908,35809327,negative,,0
21603905,21603917,36516802,negative,,0
21601423,21603929,37622517,negative,,0
21603927,21604344,35809054,negative,,0
21601423,21603929,35708151,negative,,0
21604272,21604402,43053854,negative,,0
21603900,21604418,35708208,negative,,0
21603917,21603968,36315261,negative,,0
21602338,21603896,37522220,negative,,0
21600493,21601428,35809054,negative,,0
21601161,21605129,36211464,negative,,0
21600718,21600747,42889636,negative,,0
21604272,21604571,36718321,negative,,0
21603718,21603929,37622455,negative,,0
21600965,21600449,35809079,negative,,0
21603908,21603929,36416514,negative,,0
21602730,21603732,35104877,negative,,0
21602735,21603905,35809327,negative,,0
21602734,21602898,35809327,negative,,0
21604344,21604348,35708171,negative,,0
21604711,21604888,35809115,negative,,0
21601423,21604434,35708093,negative,,0
21603921,21603929,36009833,negative,,0
21601390,21603748,35406359,negative,,0
21602735,21601423,35809072,negative,,0
21602730,21605129,36416595,negative,,0
21601423,21603929,36718016,negative,,0
21603080,21601390,37622529,negative,,0
21603924,21603929,37019321,negative,,0
21602895,21604272,43053854,negative,,0
21601435,21603777,36110642,negative,,0
21604393,21604399,37522220,negative,,0
21603967,21604431,36718301,negative,,0
21602730,21601428,35104109,negative,,0
21603980,21604433,35204966,negative,,0
21604344,21603448,35406310,negative,,0
21601390,21604348,35809207,negative,,0
21602735,21601390,36211181,negative,,0
21603909,21604348,35205038,negative,,0
21600493,21601200,37622449,negative,,0
21604348,21603448,36313176,negative,,0
21604711,21604760,36918902,negative,,0
21604051,21603641,36009754,negative,,0
21601129,21601423,36110649,negative,,0
21600493,21602737,35708154,negative,,0
21601423,21603968,36314856,negative,,0
21603718,21603749,35104351,negative,,0
21602823,21603968,35909443,negative,,0
21602338,21603925,36009893,negative,,0
21600863,21600411,36718540,negative,,0
21601431,21603896,37622529,negative,,0
21603911,21603921,36516802,negative,,0
21604712,21604741,35809039,negative,,0
21600604,21601911,35809327,negative,,0
21604516,21604559,37522220,negative,,0
21603896,21603925,36313176,negative,,0
21602735,21601390,36617310,negative,,0
21601911,21603080,35708093,negative,,0
21602735,21603925,42890392,negative,,0
21603968,21604344,42889647,negative,,0
21601518,21603925,35104177,negative,,0
21603925,21603448,35708093,negative,,0
21603967,21604711,37219850,negative,,0
21600096,21603312,37219907,negative,,0
21602737,21603909,37522220,negative,,0
21604544,21604714,36919059,negative,,0
21601390,21603896,35104199,negative,,0
21603086,21604210,35909437,negative,,0
21602256,21603911,35205036,negative,,0
21600448,21602648,35809115,negative,,0
21602102,21601435,35204948,negative,,0
21604741,21604757,35809327,negative,,0
21603131,21601390,37019321,negative,,0
21603497,21605129,35809054,negative,,0
21604544,21604562,36718321,negative,,0
21604544,21604711,35204966,negative,,0
21603718,21603748,35809059,negative,,0
21603356,21603497,37320212,negative,,0
21603131,21604131,36009871,negative,,0
21601518,21604571,35708202,negative,,0
21602485,21604745,36918858,negative,,0
21603967,21603980,36314099,negative,,0
21600493,21604348,36313524,negative,,0
21602646,21601423,35707763,negative,,0
21603967,21604711,36211492,negative,,0
21604131,21604210,36313524,negative,,0
21603929,21604272,37622449,negative,,0
21602289,21602295,37320124,negative,,0
21602730,21603800,36516959,negative,,0
21603967,21603980,36211462,negative,,0
21602735,21601423,35104341,negative,,0
21603718,21603749,36110597,negative,,0
21601129,21601789,36818729,negative,,0
21604393,21604440,37622449,negative,,0
21600494,21603929,35708154,negative,,0
21603718,21603749,36717969,negative,,0
21602485,21603009,35809243,negative,,0
21601390,21603732,35104883,negative,,0
21603896,21603924,35809310,negative,,0
21600098,21600493,37622449,negative,,0
21603980,21603312,35104165,negative,,0
21602338,21603895,788256,negative,,0
21604431,21604544,36919033,negative,,0
21601390,21601435,36313534,negative,,0
21602732,21602735,42890355,negative,,0
21602737,21601390,35708208,negative,,0
21600083,21600493,36516959,negative,,0
21603909,21603911,43053882,negative,,0
21603738,21603804,35104199,negative,,0
21600493,21602730,36718119,negative,,0
21604417,21604562,36918858,negative,,0
21603925,21603929,36111046,negative,,0
21601423,21603929,36110591,negative,,0
21600658,21601423,35708044,negative,,0
21604431,21604436,36918858,negative,,0
21600493,21601435,35104883,negative,,0
21603756,21603929,36110888,negative,,0
21604399,21604436,35909513,negative,,0
21602102,21602732,37320212,negative,,0
21602823,21603929,37219942,negative,,0
21604556,21604562,36919235,negative,,0
21602256,21603864,36313916,negative,,0
21603718,21603749,35809327,negative,,0
21603905,21603968,36516779,negative,,0
21602338,21603925,35104236,negative,,0
21603924,21603929,35708202,negative,,0
21601390,21603929,36313476,negative,,0
21603009,21601394,36516888,negative,,0
21603896,21603925,45885570,negative,,0
21602735,21602806,43053854,negative,,0
21600493,21602102,35708154,negative,,0
21603149,21603161,35104883,negative,,0
21601390,21601431,36211705,negative,,0
21604516,21604543,35708171,negative,,0
21601392,21601431,35909603,negative,,0
21602735,21603800,35104883,negative,,0
21602730,21601423,37019318,negative,,0
21604566,21604714,36918858,negative,,0
21603009,21603607,35809243,negative,,0
21602085,21604348,37622449,negative,,0
21602085,21603131,36009724,negative,,0
21603080,21603929,36313176,negative,,0
21602485,21602978,35708156,negative,,0
21603140,21603925,36315575,negative,,0
21600816,21601161,35306246,negative,,0
21602730,21604571,36416595,negative,,0
21600493,21601423,35809243,negative,,0
21604559,21604762,36919235,negative,,0
21600575,21605129,42889536,negative,,0
21602102,21604344,36009783,negative,,0
21604344,21604590,35708154,negative,,0
21602730,21603793,36718132,negative,,0
21600663,21603968,37320205,negative,,0
21600493,21603080,36313436,negative,,0
21601423,21601428,35909511,negative,,0
21600100,21603967,35809243,negative,,0
21603758,21603909,36110852,negative,,0
21604460,21604559,35809310,negative,,0
21603911,21603288,35809005,negative,,0
21603288,21603312,37320212,negative,,0
21604516,21604571,35809043,negative,,0
21601129,21603968,36517125,negative,,0
21604393,21604399,35104236,negative,,0
21602737,21603732,35104883,negative,,0
21600493,21601423,37019318,negative,,0
21603732,21603929,35909625,negative,,0
21603312,21603356,36919236,negative,,0
21602085,21603131,35708628,negative,,0
21601003,21602648,35808929,negative,,0
21603909,21603927,35204948,negative,,0
21604348,21603448,45885570,negative,,0
21600100,21602485,35909443,negative,,0
21603924,21603929,36718119,negative,,0
21603967,21603980,35606966,negative,,0
21604543,21604562,36918985,negative,,0
21600448,21601518,36313594,negative,,0
21601699,21604434,36818729,negative,,0
21600663,21603908,35809054,negative,,0
21602102,21602737,35104871,negative,,0
21600084,21603448,36416514,negative,,0
21602737,21601423,45885570,negative,,0
21601423,21603929,35506609,negative,,0
21600098,21601518,35708093,negative,,0
21603288,21603312,35809139,negative,,0
21604422,21604559,36918858,negative,,0
21602737,21601435,36416600,negative,,0
21601518,21601747,37019321,negative,,0
21602256,21602735,36718555,negative,,0
21601390,21603718,35406359,negative,,0
21604422,21604762,36718191,negative,,0
21603909,21603917,35809115,negative,,0
21600571,21604344,35104877,negative,,0
21601161,21602735,36416595,negative,,0
21604559,21604762,36718320,negative,,0
21602096,21604857,37320197,negative,,0
21603908,21603968,36516781,negative,,0
21601394,21603929,35708642,negative,,0
21604415,21604714,36718132,negative,,0
21600819,21602040,36313240,negative,,0
21600493,21602730,36315575,negative,,0
21603924,21603927,36009897,negative,,0
21601161,21605129,37220014,negative,,0
21601390,21603748,35104691,negative,,0
21601161,21605129,36416487,negative,,0
21602732,21601423,36211181,negative,,0
21602338,21602734,35506494,negative,,0
21602735,21603911,36416606,negative,,0
21601390,21603929,36110630,negative,,0
21603135,21603924,36110874,negative,,0
21600083,21604436,37522220,negative,,0
21600604,21601911,36718132,negative,,0
21602338,21603925,35607470,negative,,0
21602737,21603925,36313176,negative,,0
21601423,21603911,36315155,negative,,0
21602102,21602737,35708208,negative,,0
21603140,21603896,35104883,negative,,0
21604272,21604677,37220005,negative,,0
21604559,21604562,43053924,negative,,0
21600718,21601670,36818646,negative,,0
21601423,21601435,36110380,negative,,0
21600493,21604229,35809310,negative,,0
21604432,21604436,35204948,negative,,0
21603967,21603980,35809134,negative,,0
21602730,21604571,35708093,negative,,0
21602485,21604433,36918858,negative,,0
21600083,21601390,36313476,negative,,0
21601161,21605129,37219907,negative,,0
21600575,21604344,36416563,negative,,0
21601869,21603607,35809121,negative,,0
21600083,21600575,35708208,negative,,0
21602256,21602553,35809133,negative,,0
21604422,21604544,36718353,negative,,0
21601423,21604857,35707763,negative,,0
21600098,21604643,37219868,negative,,0
21601534,21601274,37219907,negative,,0
21602338,21602735,36110369,negative,,0
21603905,21603929,36517125,negative,,0
21604344,21604348,37019425,negative,,0
21601399,21603925,35707751,negative,,0
21601399,21601431,36617310,negative,,0
21603895,21603896,36110736,negative,,0
21603135,21601435,35104199,negative,,0
21602735,45893488,37521041,negative,,0
21604571,21604640,36718317,negative,,0
21602096,21604857,36516848,negative,,0
21602730,21603929,35809139,negative,,0
21601423,21603929,36312573,negative,,0
21603911,21603927,35708202,negative,,0
21600658,21603285,36110874,negative,,0
21601534,21604643,36919098,negative,,0
21602866,21604344,35809054,negative,,0
21602732,21601423,36110874,negative,,0
21603718,21603929,36718537,negative,,0
21600604,21601911,35809115,negative,,0
21601423,21603924,37521169,negative,,0
21602732,21602735,36110649,negative,,0
21600493,21604131,37219863,negative,,0
21603288,21603497,35809054,negative,,0
21604431,21604711,35809327,negative,,0
21604417,21604436,42890175,negative,,0
21601129,21602735,35809243,negative,,0
21600493,21603967,35708108,negative,,0
21604559,21604757,35809310,negative,,0
21600448,21602648,35205268,negative,,0
21604571,21603448,35104691,negative,,0
21602730,21603929,36311923,negative,,0
21602256,21603911,36416534,negative,,0
21603896,21603925,35707920,negative,,0
21602102,21602737,36312568,negative,,0
21603911,21603929,35707792,negative,,0
21600837,21602485,35909452,negative,,0
21603131,21601435,35104113,negative,,0
21603909,21604344,36315380,negative,,0
21601435,21603929,35104351,negative,,0
21601911,21602737,35708093,negative,,0
21602338,21602732,37219897,negative,,0
21604051,21603641,35708156,negative,,0
21603967,21603514,35205038,negative,,0
21602256,21603756,43053882,negative,,0
21603087,21601392,35708093,negative,,0
21604433,21604711,36315381,negative,,0
21603748,21603749,35104397,negative,,0
21604757,21604762,35205037,negative,,0
21603009,21603607,35708093,negative,,0
21603911,21603968,36718132,negative,,0
21600096,21600111,35708208,negative,,0
21601390,21601423,35205038,negative,,0
21603967,21603514,36211492,negative,,0
21604431,21604436,36416514,negative,,0
21601003,21602653,35205268,negative,,0
21604431,21604559,35809327,negative,,0
21602737,21603967,35708208,negative,,0
21603756,21603929,36009833,negative,,0
21603080,21603925,35809327,negative,,0
21601392,21601431,36009892,negative,,0
21603929,21603965,35809005,negative,,0
21603925,21603929,35708642,negative,,0
21600096,21603497,36718141,negative,,0
21602730,21601423,35104691,negative,,0
21601423,21603968,35808976,negative,,0
21602735,21603497,35708202,negative,,0
21600399,40252237,37522220,negative,,0
21604559,21604562,36718132,negative,,0
21604415,21604559,36718347,negative,,0
21604415,21604559,36918942,negative,,0
21602734,21603896,42889647,negative,,0
21603756,21603896,35104691,negative,,0
21602256,21603911,35607446,negative,,0
21601431,21603924,35707751,negative,,0
21602256,21602735,35808981,negative,,0
21603080,21603718,35809207,negative,,0
21602338,21603925,37320192,negative,,0
21600096,21600097,42889636,negative,,0
21603911,21603929,36918858,negative,,0
21601003,21600449,35809054,negative,,0
21604393,21604440,36416500,negative,,0
21602730,21601423,37622455,negative,,0
21603909,21603927,35104868,negative,,0
21604562,21604711,36918985,negative,,0
21603082,21601435,36313550,negative,,0
21603356,21603362,36315984,negative,,0
21602102,21602730,35104691,negative,,0
21602485,21602732,35909443,negative,,0
21601423,21603911,36110253,negative,,0
21604393,21604415,36776613,negative,,0
21601423,21603909,36110642,negative,,0
21604431,21604714,36918858,negative,,0
21601390,21601423,36110887,negative,,0
21601423,21603929,36009880,negative,,0
21603967,21603607,36211303,negative,,0
21604516,21604559,36516973,negative,,0
21601423,21603929,43053920,negative,,0
21600663,21603909,36516781,negative,,0
21604718,21604741,36918942,negative,,0
21604431,21604544,36718347,negative,,0
21601423,21603896,45885904,negative,,0
21602085,21601390,35104883,negative,,0
21603156,21603164,36313553,negative,,0
21602732,21603756,36110201,negative,,0
21602732,21604399,35708344,negative,,0
21604757,21604762,43053924,negative,,0
21602732,21601399,36009891,negative,,0
21601423,21603912,36009833,negative,,0
21604757,21604762,36718132,negative,,0
21604431,21604436,37622449,negative,,0
21600816,21603448,37622449,negative,,0
21602896,21603080,35809327,negative,,0
21600493,21602730,35104103,negative,,0
21603909,21603968,43053882,negative,,0
21602732,21604344,36009783,negative,,0
21604559,21604571,35809043,negative,,0
21600658,21603285,35809054,negative,,0
21603312,21603356,36919045,negative,,0
21601129,21601423,35104074,negative,,0
21604559,21604762,36718220,negative,,0
21600096,21604393,37220005,negative,,0
21604566,21604712,42889647,negative,,0
21602730,21602735,35708093,negative,,0
21602102,21601423,37219863,negative,,0
21601394,21601423,35737628,negative,,0
21601423,21603800,35708154,negative,,0
21600484,21602485,35708202,negative,,0
21600098,43534853,42889536,negative,,0
21601428,21603929,35506628,negative,,0
21601442,21604399,35707763,negative,,0
21603019,21603082,35104883,negative,,0
21601534,21602648,37219907,negative,,0
21604425,21604432,36776613,negative,,0
21601423,21603448,36416606,negative,,0
21604344,21604348,37521163,negative,,0
21603082,21603896,35809327,negative,,0
21601423,21603924,42890355,negative,,0
21601751,21603086,42890648,negative,,0
21602732,21601423,37219863,negative,,0
21600664,21602732,35808914,negative,,0
21604344,21605129,36718132,negative,,0
21600084,21603929,35809054,negative,,0
21604344,21604348,36009711,negative,,0
21602730,21603800,35104868,negative,,0
21601129,21603908,35708093,negative,,0
21604344,21604348,36009738,negative,,0
21601423,21603911,35809329,negative,,0
21601423,21601435,35205230,negative,,0
21600084,21604571,35809054,negative,,0
21601390,21601435,36110320,negative,,0
21603911,21603965,35809005,negative,,0
21600093,21602623,35104074,negative,,0
21604418,21604431,35809327,negative,,0
21601423,21601435,37320158,negative,,0
21601161,21604348,35205038,negative,,0
21603900,21604422,35406310,negative,,0
21604298,21604740,36211481,negative,,0
21604422,21604529,36919059,negative,,0
21602732,21603929,35809079,negative,,0
21603967,21603497,36516876,negative,,0
21600096,21602823,36211303,negative,,0
21602102,21602737,788268,negative,,0
21601390,21603613,35104877,negative,,0
21601394,21603748,35104351,negative,,0
21601423,21603924,35104883,negative,,0
21604543,21604571,36315381,negative,,0
21604436,21604574,43053854,negative,,0
21602898,21604348,43053854,negative,,0
21603356,21603497,36009756,negative,,0
21604348,21603312,35205038,negative,,0
21603356,21603497,36919235,negative,,0
21603312,21603356,36009783,negative,,0
21601518,21602737,36313476,negative,,0
21603081,21605270,37019321,negative,,0
21601435,21603804,37622449,negative,,0
21601423,21603925,37019261,negative,,0
21603514,21605129,42889536,negative,,0
21604714,21604718,42889636,negative,,0
21601394,21603748,35104877,negative,,0
21601390,21603800,36313524,negative,,0
21603967,21604544,36919230,negative,,0
21602823,21602977,35809054,negative,,0
21601390,21604344,36416595,negative,,0
21601423,21603929,35104885,negative,,0
21602542,21604714,42889636,negative,,0
21603448,21603497,35809054,negative,,0
21602820,21604571,36416500,negative,,0
21600965,21600449,35809130,negative,,0
21600493,21603448,36918984,negative,,0
21601399,21604422,37622529,negative,,0
21601534,21604344,37219905,negative,,0
21601751,21603925,42890648,negative,,0
21601423,21603929,35606950,negative,,0
21601423,21603929,36416496,negative,,0
21601161,21605129,36311982,negative,,0
21600484,21603748,36718119,negative,,0
21602485,21604714,35708093,negative,,0
21604344,21604348,36110229,negative,,0
21604417,21604440,35809327,negative,,0
21600098,21602102,35708208,negative,,0
21600493,21604272,36313524,negative,,0
21602256,21603911,35809084,negative,,0
21601431,21603929,35104113,negative,,0
21603312,21603356,37219809,negative,,0
21601274,21604433,36416501,negative,,0
21602730,21601423,37019321,negative,,0
21600448,21602648,36110933,negative,,0
21602732,21601390,36110552,negative,,0
21603908,21603911,35205236,negative,,0
21601129,21601423,43053882,negative,,0
21601390,21601423,35104885,negative,,0
21602730,21603718,36313524,negative,,0
21603908,21603929,35809115,negative,,0
21604438,21604544,36315381,negative,,0
21601394,21603732,36110642,negative,,0
21604559,21604712,36918918,negative,,0
21603980,21603514,36718301,negative,,0
21601390,21603749,36617309,negative,,0
21600448,21602648,36718321,negative,,0
21602734,21603756,35104877,negative,,0
21604562,21604757,36718285,negative,,0
21601684,21604305,35205305,negative,,0
21600663,21601423,35205025,negative,,0
21600096,21600135,35708154,negative,,0
21602735,21603905,35506459,negative,,0
21603082,21603924,37320098,negative,,0
21601390,21605129,35104877,negative,,0
21604571,21605129,36416595,negative,,0
21603896,21604399,35809327,negative,,0
21602102,21603929,36009955,negative,,0
21602737,21604344,35104074,negative,,0
21602256,21603911,35104306,negative,,0
21602735,21601390,35205025,negative,,0
21603980,21604344,35708208,negative,,0
21604425,21604436,36718321,negative,,0
21602730,21601423,36110026,negative,,0
21602256,21603917,35809323,negative,,0
21604529,21604562,36718285,negative,,0
21600449,21602653,36314117,negative,,0
21603967,21603980,35909625,negative,,0
21601129,21603929,37522220,negative,,0
21601390,40253398,36313476,negative,,0
21602734,21603925,35104243,negative,,0
21603911,21603929,37219907,negative,,0
21602102,21602737,36110715,negative,,0
21603916,21603925,37019358,negative,,0
21602732,21603019,35809054,negative,,0
21601390,21601423,35205185,negative,,0
21603009,21603607,35708100,negative,,0
21600449,21602648,37219897,negative,,0
21600097,1588697,42889536,negative,,0
21604348,21603448,35205259,negative,,0
21600658,21603929,35708044,negative,,0
21601518,21602737,36313176,negative,,0
21602085,21603718,35909625,negative,,0
21603898,21603693,36617197,negative,,0
21604571,21604714,35809327,negative,,0
21600493,21604434,37622449,negative,,0
21602735,21603356,36009783,negative,,0
21604051,21603641,35708134,negative,,0
21603448,21603613,37622449,negative,,0
21602256,21601423,36516781,negative,,0
21602737,21603497,37622449,negative,,0
21603738,21603929,35707713,negative,,0
21600171,43534744,35708093,negative,,0
21601423,21604857,35708093,negative,,0
21600575,21603080,35809054,negative,,0
21602732,21602735,35809310,negative,,0
21602732,21603929,36110852,negative,,0
21604712,21604714,36918858,negative,,0
21600816,21602256,35808976,negative,,0
21602732,21603135,36110852,negative,,0
21603898,21603908,35809361,negative,,0
21602256,21603911,36516802,negative,,0
21600448,21602648,36110697,negative,,0
21604757,21604762,35708202,negative,,0
21603082,21603718,35909437,negative,,0
21602730,21603621,36516749,negative,,0
21602136,21603356,35708154,negative,,0
21601787,21604544,36919230,negative,,0
21602102,21602737,35104165,negative,,0
21602485,21604714,35909443,negative,,0
21604559,21603448,36918858,negative,,0
21600083,21603514,36718132,negative,,0
21603019,21603613,36718500,negative,,0
21602732,21603929,35707866,negative,,0
